modelName, participant, isFiltered, Accuracy, correct, wrong, False paced, False slowBreath, False stressor, False baseline, SD paced, SD slowBreath, SD stressor, SD baseline, Predictions, Unique Predictions, Paced Samples, slowBreath Samples, Stressor Samples, Baseline Samples
models-eegLib-pure/Deep,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep-2000ep.h5,False,0.36771300448430494,82,141,0,136,0,5,0.035306707,0.06931794,0.036675155,0.120024614,223,219,50091,50144,45121,15031
models-eegLib-pure/Deep,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep-2000ep.h5,False,0.3108108108108108,69,153,17,131,1,4,0.2560725,0.29580063,0.06696426,0.14850855,222,172,50125,50154,45095,15030
models-eegLib-pure/Deep,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep-2000ep-2000ep.h5,False,0.18468468468468469,41,181,181,0,0,0,0.0,0.0,0.0,0.0,222,1,50024,50136,45087,15030
models-eegLib-pure/Shallow,OpenBCISession_2020-02-06_11-26-48-TWO-2000ep-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,0.008454824,0.013742973,0.00531513,3.3451473e-05,222,222,50174,50139,45091,15088
models-eegLib-pure/Shallow,OpenBCISession_2020-02-06_12-08-05-THREE-2000ep-2000ep.h5,False,0.18385650224215247,41,182,182,0,0,0,0.001277201,9.021096e-12,0.0012772036,6.0902977e-10,223,127,50141,50139,45149,15030
models-eegLib-pure/Shallow,OpenBCISession_2020-02-07_10-42-36-FOUR.2-2000ep-2000ep.h5,False,0.11210762331838565,25,198,0,0,0,198,4.7288246e-11,2.4279145e-15,0.00730878,0.0073087877,223,186,50150,50117,45147,15062
models-eegLib-pure/Shallow,OpenBCISession_2020-02-07_11-12-39-FIVE-2000ep-2000ep.h5,False,0.3183856502242152,71,152,0,0,148,4,0.00022464574,0.000654599,0.10291276,0.10284661,223,194,50111,50115,45035,15030
models-eegLib-pure/Shallow,OpenBCISession_2020-02-07_12-09-54-SIX-2000ep-2000ep.h5,False,0.36936936936936937,82,140,0,140,0,0,4.7355123e-12,3.9195772e-08,2.6035549e-08,1.0975357e-19,222,121,50138,50031,45084,15040
models-eegLib-pure/Shallow,OpenBCISession_2020-02-10_10-55-19=ONE.2-2000ep-2000ep.h5,False,0.18468468468468469,41,181,181,0,0,0,0.00010470368,1.248948e-12,4.194771e-21,0.000104703744,222,222,50160,50140,45098,15030
models-eegLib-pure/Shallow,OpenBCISession_2020-02-14_11-09-00-SEVEN-2000ep-2000ep.h5,False,0.36771300448430494,82,141,0,141,0,0,3.5230365e-09,0.00033046983,0.000108532746,0.0002907578,223,220,50086,50114,45048,15027
models-eegLib-pure/Shallow,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep-2000ep.h5,False,0.36607142857142855,82,142,0,142,0,0,0.0,0.0,0.0,2.7018112e-12,224,6,50140,50150,45208,15030
models-eegLib-pure/Shallow,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep-2000ep.h5,False,0.336322869955157,75,148,0,0,148,0,1.6940857e-06,3.177046e-13,5.965559e-05,5.8256413e-05,223,129,50077,50143,45042,15031
models-eegLib-pure/Shallow,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep-2000ep.h5,False,0.14732142857142858,33,191,58,0,0,133,0.16200857,2.1781126e-13,1.0993376e-10,0.16200855,224,161,50149,50129,45137,15029
models-eegLib-pure/Shallow,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep-2000ep.h5,False,0.11210762331838565,25,198,0,0,0,198,0.010862901,0.00020192674,0.00036332067,0.011358442,223,221,50091,50144,45121,15031
models-eegLib-pure/Shallow,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep-2000ep.h5,False,0.11261261261261261,25,197,0,0,0,197,0.0013588485,0.020418242,9.1651103e-10,0.021116959,222,144,50125,50154,45095,15030
