,,,0,6,68,1
,,,0,1,3,21

models-filt-double-lstm,OpenBCISession_2020-02-14_11-43-46-EIGHT-2000ep.h5,True, 31,6,3,1
,,,1,76,4,1
,,,2,4,69,1
,,,1,0,3,21

models-filt-double-lstm,OpenBCISession_2020-02-23_16-49-310-VIR-2000ep.h5,True, 37,1,3,0
,,,1,76,5,0
,,,4,8,62,1
,,,4,3,2,16

models-filt-double-lstm,OpenBCISession_2020-02-23_18-14-52-ISH-2000ep.h5,True, 34,3,2,2
,,,0,76,3,3
,,,6,6,63,1
,,,0,3,2,20

models-filt-double-lstm,OpenBCISession_2020-02-29_17-19-28-ELI-2000ep.h5,True, 0,41,0,0
,,,0,82,0,0
,,,0,75,0,0
,,,0,25,0,0

models-filt-double-lstm,OpenBCISession_2020-02-29_17-51-57-BAHAR-2000ep.h5,True, 34,6,1,0
,,,2,77,3,0
,,,2,8,64,0
,,,1,2,4,18

models-filt-double-lstm,OpenBCISession_2020-03-06_10-28-17-LUKE-2000ep.h5,True, 31,5,3,2
,,,1,76,4,1
,,,2,7,64,1
,,,0,3,1,21

models-high-double-lstm,OpenBCISession_2020-02-06_11-26-48-TWO-1000ep.h5,True, 0,41,0,0
,,,0,82,0,0
,,,0,74,0,0
,,,0,25,0,0

models-high-double-lstm,OpenBCISession_2020-02-06_12-08-05-THREE-1000ep.h5,True, 8,16,17,0
,,,4,33,41,4
,,,3,13,50,9
,,,1,0,6,18

models-high-double-lstm,OpenBCISession_2020-02-07_10-42-36-FOUR.2-1000ep.h5,True, 6,15,18,2
,,,10,38,31,3
,,,8,13,50,4
,,,0,11,11,3

models-high-double-lstm,OpenBCISession_2020-02-07_11-12-39-FIVE-1000ep.h5,True, 3,3,31,4
,,,8,12,54,8
,,,4,8,61,2
,,,3,2,14,6

models-high-double-lstm,OpenBCISession_2020-02-07_12-09-54-SIX-1000ep.h5,True, 6,26,7,2
,,,2,69,10,1
,,,6,51,15,2
,,,1,19,3,2

models-high-double-lstm,OpenBCISession_2020-02-10_10-55-19=ONE.2-1000ep.h5,True, 6,16,19,0
,,,4,55,23,0
,,,5,20,48,1
,,,1,12,9,3

models-high-double-lstm,OpenBCISession_2020-02-14_11-09-00-SEVEN-1000ep.h5,True, 6,16,16,3
,,,1,43,24,14
,,,6,29,24,16
,,,0,6,8,11

models-high-double-lstm,OpenBCISession_2020-02-14_11-43-46-EIGHT-1000ep.h5,True, 3,19,16,3
,,,2,60,16,4
,,,9,35,22,10
,,,2,3,15,5

models-high-double-lstm,OpenBCISession_2020-02-23_16-49-310-VIR-1000ep.h5,True, 21,9,8,3
,,,11,52,17,2
,,,11,20,41,3
,,,5,7,5,8

models-high-double-lstm,OpenBCISession_2020-02-23_18-14-52-ISH-1000ep.h5,True, 0,41,0,0
,,,0,81,1,0
,,,2,73,1,0
,,,0,25,0,0

models-high-double-lstm,OpenBCISession_2020-02-29_17-19-28-ELI-1000ep.h5,True, 0,41,0,0
,,,0,82,0,0
,,,0,75,0,0
,,,0,25,0,0

